neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,12,40.70984,-73.95775,1,100,5,168,1,0
0,21,40.70093,-73.92609,1,105,3,118,2,9
1,8,40.79764,-73.96177,1,140,3,81,1,198
1,2,40.82803,-73.94731,0,89,1,1,1,365
1,14,40.74008,-74.00271,0,98,30,30,2,364
0,6,40.68413,-73.92357,1,125,7,139,2,311
1,2,40.82279,-73.95139,0,60,3,11,3,219
0,33,40.67967,-74.00154,1,175,2,233,3,342
1,30,40.83927,-73.94281,0,65,2,68,1,312
1,11,40.73096,-74.00319,1,500,4,46,2,243
0,12,40.71332,-73.94177,0,101,3,335,1,152
0,16,40.66941,-73.98109,1,220,30,88,1,9
0,6,40.68373,-73.92377,1,125,90,162,2,137
0,12,40.71459,-73.94844,1,80,30,29,1,222
1,2,40.8092,-73.94421,0,100,2,170,1,346
0,34,40.68157,-73.98989,1,200,30,19,1,208
1,7,40.75527,-73.99291,0,59,2,334,2,279
0,3,40.68698,-73.96572,0,125,2,19,6,250
1,19,40.7288,-73.98192,1,140,7,12,1,164
0,10,40.66853,-73.98912,1,120,30,467,2,192
1,19,40.7254,-73.98157,1,350,2,7,4,298
1,26,40.74294,-73.98009,1,199,5,38,1,260
0,12,40.71942,-73.95748,1,325,3,324,1,107
1,8,40.77823,-73.97637,1,235,6,27,1,199
1,19,40.72555,-73.97965,1,225,1,115,4,299
0,10,40.66831,-73.98604,0,99,2,354,3,20
1,2,40.82754,-73.94919,1,170,2,195,1,318
0,10,40.66499,-73.97925,1,400,2,16,2,216
1,8,40.77842,-73.97556,1,170,7,13,1,224
1,19,40.72245,-73.98527,1,100,4,25,1,0
0,24,40.65593,-73.96053,0,75,2,9,1,324
0,12,40.71923,-73.96468,0,90,1,9,1,245
1,28,40.778,-73.94822,1,150,5,21,1,189
1,30,40.85879,-73.93128,0,85,15,36,1,307
0,6,40.68332,-73.9547,0,70,3,63,2,310
1,2,40.81618,-73.94894,1,120,3,155,3,213
0,3,40.68414,-73.96351,0,89,3,260,1,278
1,19,40.72392,-73.99143,1,185,5,73,1,209
0,20,40.73494,-73.9503,0,50,3,193,1,0
1,23,40.71341,-73.98856,1,105,3,32,1,16
1,7,40.76754,-73.98399,0,130,2,50,3,234
1,11,40.73442,-74.00303,1,115,29,26,1,12
0,35,40.63188,-73.93248,0,77,2,2,1,178
0,3,40.6873,-73.9634,0,76,2,426,3,275
0,6,40.68296,-73.93662,1,125,3,227,2,163
0,3,40.6863,-73.96765,0,135,4,84,3,365
0,20,40.73409,-73.95348,1,250,29,3,1,34
0,12,40.71561,-73.94835,1,199,3,10,1,280
0,36,40.6857,-73.99183,1,140,2,4,1,0
2,37,40.74028,-73.83168,0,140,2,1,1,1
0,6,40.68281,-73.93524,1,115,3,124,2,170
0,12,40.71596,-73.93938,1,160,3,11,1,188
0,12,40.71492,-73.95935,1,195,4,240,1,214
1,19,40.72354,-73.98295,1,195,3,30,1,248
0,12,40.71165,-73.96087,0,80,3,200,4,262
0,13,40.69101,-73.97312,0,44,8,27,5,280
1,11,40.73474,-74.00101,0,156,4,79,1,307
0,29,40.67386,-73.96641,0,85,15,9,1,339
0,12,40.71536,-73.96057,0,125,3,155,1,1
0,29,40.6741,-73.96595,1,115,15,4,1,269
1,4,40.79295,-73.93997,0,69,2,34,1,10
1,11,40.73226,-74.00401,1,225,45,134,1,312
0,12,40.71363,-73.96398,1,125,6,27,1,189
1,28,40.77711,-73.9527,1,219,4,126,2,290
0,38,40.68559,-73.98094,1,475,3,23,1,230
1,28,40.77456,-73.95323,1,99,1,234,2,164
0,12,40.71088,-73.95055,0,69,4,202,2,53
2,39,40.74559,-73.92313,0,79,30,28,1,126
0,6,40.68306,-73.94659,1,135,2,309,2,3
0,40,40.70207,-73.98571,0,250,3,14,1,189
1,28,40.76123,-73.9642,1,250,3,4,1,365
0,34,40.66858,-73.99083,1,250,2,80,1,0
1,2,40.82704,-73.94907,1,80,3,2,1,0
0,3,40.68843,-73.96408,0,70,2,294,3,336
0,33,40.6783,-74.00135,1,165,2,150,3,342
3,41,40.64524,-74.08088,0,70,2,166,1,312
0,21,40.70641,-73.91765,0,50,2,47,1,37
4,42,40.83232,-73.93184,0,40,1,219,3,353
0,12,40.71045,-73.9677,1,150,2,193,1,177
1,19,40.72518,-73.98034,0,125,1,84,4,310
1,43,40.70666,-74.01374,1,196,3,114,1,0
0,13,40.69098,-73.97113,0,110,2,213,2,321
1,11,40.73756,-74.00405,1,170,3,86,1,246
1,2,40.81526,-73.94791,1,165,3,80,3,231
1,11,40.73423,-74.0046,1,150,26,38,1,225
1,2,40.82374,-73.9373,1,100,2,18,1,0
0,13,40.68863,-73.97691,0,65,2,206,2,0
2,44,40.70382,-73.89797,1,350,8,10,5,365
1,45,40.80549,-73.95924,0,99,4,122,2,233
0,12,40.71627,-73.9587,1,200,4,33,1,1
0,16,40.67994,-73.97863,1,150,5,52,1,18
0,6,40.67992,-73.9475,0,90,3,126,4,343
0,29,40.67868,-73.97307,0,120,3,51,3,250
1,28,40.76834,-73.95334,0,75,3,199,1,326
0,6,40.68237,-73.9415,1,175,26,30,1,364
1,14,40.74031,-73.99999,1,125,3,3,1,0
1,7,40.76307,-73.99665,1,275,1,41,1,299
1,23,40.71882,-73.98852,1,299,2,109,1,207
0,10,40.6693,-73.98804,1,135,5,151,3,162
1,28,40.77333,-73.95199,0,130,14,0,2,0
1,23,40.72319,-73.99201,0,83,1,285,1,7
1,14,40.74859,-73.99671,0,123,1,375,1,328
2,46,40.67252,-73.76597,0,55,2,52,2,365
1,7,40.76244,-73.99271,1,195,5,10,1,0
0,6,40.69546,-73.93503,0,80,2,11,1,0
2,47,40.71722,-73.87856,1,98,30,33,5,240
2,44,40.70234,-73.89816,0,140,7,6,5,365
2,47,40.71546,-73.87854,1,265,7,38,5,365
0,12,40.7195,-73.95976,1,249,2,358,2,164
1,7,40.76548,-73.98474,2,105,6,10,1,363
1,2,40.80234,-73.95603,0,200,30,0,1,365
0,29,40.6787,-73.97262,0,100,2,226,3,250
1,2,40.81035,-73.94598,1,121,1,104,5,247
4,42,40.83075,-73.93058,0,45,1,138,3,323
1,4,40.79958,-73.94275,0,100,5,204,1,192
0,12,40.71625,-73.93845,1,140,2,253,1,125
0,6,40.6829,-73.93549,0,71,2,23,1,91
1,48,40.72773,-73.99134,0,130,2,115,1,75
1,11,40.72861,-74.0049,1,199,5,129,1,286
0,12,40.70979,-73.95162,0,69,4,82,2,60
0,13,40.68656,-73.97525,0,68,3,37,1,0
1,19,40.72752,-73.98432,1,130,1,204,1,192
0,20,40.729,-73.95829,1,195,2,69,1,58
1,2,40.81219,-73.94499,0,64,1,192,5,245
2,49,40.77185,-73.90502,1,140,2,17,1,292
0,36,40.68926,-73.99386,1,159,2,222,1,279
1,19,40.72821,-73.98701,1,189,3,205,1,0
1,7,40.7672,-73.98508,1,250,3,94,1,3
1,19,40.73012,-73.99053,1,239,3,7,1,351
1,50,40.7403,-73.98498,1,305,2,108,1,201
1,2,40.80931,-73.94343,1,155,3,222,2,232
1,2,40.8251,-73.94287,0,60,1,458,2,258
0,17,40.6585,-73.98397,0,135,2,21,1,272
1,51,40.76193,-73.9501,0,120,7,17,1,341
1,23,40.72052,-73.98589,1,150,3,41,1,244
2,44,40.70411,-73.89934,1,140,14,1,5,365
0,20,40.73401,-73.95967,1,135,2,69,1,12
1,9,40.71756,-73.99503,1,250,4,18,2,265
1,1,40.7589,-73.96991,1,250,30,82,1,0
1,27,40.72003,-74.00262,1,500,4,94,1,329
1,52,40.73194,-73.99474,1,225,5,10,1,91
1,4,40.79163,-73.94573,1,125,28,183,2,365
1,2,40.8118,-73.94434,0,92,1,189,5,253
1,2,40.81583,-73.94707,0,175,2,1,1,365
1,19,40.72654,-73.98049,1,99,2,127,1,320
1,8,40.80021,-73.96071,1,195,4,4,1,0
1,4,40.80942,-73.93936,1,140,3,135,3,192
1,53,40.71961,-73.9954,1,135,2,21,1,0
1,14,40.74358,-74.00027,1,500,2,35,1,348
1,2,40.80335,-73.9575,0,80,14,10,2,0
1,9,40.71445,-73.9908,0,120,4,171,2,353
1,1,40.75749,-73.96897,1,110,200,92,1,140
0,54,40.64446,-73.9503,1,65,3,238,1,2
1,19,40.7268,-73.99079,1,130,50,56,1,56
0,21,40.688,-73.9171,1,99,3,111,1,68
3,55,40.63536,-74.08537,0,36,2,193,6,360
3,55,40.63627,-74.08543,0,37,2,147,6,0
3,55,40.63518,-74.08546,0,37,2,177,6,320
1,19,40.72477,-73.98161,1,175,3,185,2,326
1,14,40.74238,-73.99567,1,205,9,62,2,76
0,20,40.72945,-73.95511,1,285,3,124,3,279
0,12,40.70763,-73.95177,0,59,2,181,2,15
3,55,40.63481,-74.08519,0,36,2,333,6,340
2,56,40.75384,-73.91433,1,99,5,441,1,226
0,0,40.64106,-73.97426,0,39,1,45,2,365
0,16,40.66793,-73.98327,0,60,14,9,2,0
4,57,40.81309,-73.85514,0,90,2,0,7,349
4,58,40.88057,-73.83572,1,105,2,38,13,365
0,6,40.68236,-73.94314,1,135,2,248,2,11
1,19,40.72185,-73.98246,1,390,5,143,2,316
0,6,40.68503,-73.95385,0,70,3,36,4,281
1,18,40.86648,-73.9263,0,75,7,0,2,323
0,12,40.7069,-73.95467,0,60,17,14,4,362
1,19,40.72807,-73.98594,1,200,3,0,1,0
0,15,40.6778,-73.94339,0,100,3,279,1,301
0,6,40.68317,-73.94701,0,70,4,18,4,189
0,15,40.6761,-73.9529,0,110,6,50,1,0
0,15,40.67586,-73.95155,0,60,2,227,2,287
1,53,40.71702,-73.99811,1,90,14,1,1,14
1,19,40.72321,-73.98157,0,68,2,203,2,86
1,8,40.77956,-73.98098,1,115,2,210,1,261
0,6,40.68276,-73.95264,0,75,5,64,1,68
0,12,40.71368,-73.9626,0,60,3,0,1,0
1,19,40.72956,-73.98158,1,129,7,5,1,231
0,12,40.71069,-73.95175,1,130,10,49,1,152
0,12,40.70863,-73.94641,1,95,4,132,1,46
1,2,40.82888,-73.94307,0,75,3,20,1,364
0,16,40.67319,-73.97323,1,175,2,11,1,246
0,33,40.67846,-73.99443,1,190,3,51,1,288
0,15,40.6715,-73.94808,0,49,21,15,5,331
1,19,40.72681,-73.98534,1,212,3,67,1,51
1,23,40.71904,-73.99392,0,95,1,109,3,364
0,12,40.71031,-73.9583,1,140,2,9,1,254
1,2,40.81322,-73.95306,1,135,6,187,1,189
0,16,40.67732,-73.98225,1,150,2,214,2,263
0,34,40.68076,-73.9896,1,190,3,69,2,258
1,4,40.79603,-73.94903,1,124,28,22,1,103
0,12,40.71492,-73.96282,1,135,30,56,1,42
1,45,40.80393,-73.95838,0,122,3,93,1,246
1,8,40.80082,-73.9652,0,109,1,104,2,364
1,2,40.82976,-73.94867,0,85,30,64,1,318
0,6,40.683,-73.91981,1,145,3,127,2,72
1,8,40.78971,-73.9729,1,195,11,30,1,249
0,33,40.67817,-73.99495,1,250,2,106,3,272
0,20,40.73119,-73.95578,0,125,3,6,1,325
1,53,40.71943,-73.99627,1,575,2,191,1,298
1,8,40.78,-73.98249,1,150,30,48,1,35
0,21,40.70514,-73.91922,0,70,5,47,1,203
1,18,40.86713,-73.92811,0,90,2,120,1,132
1,19,40.73198,-73.98881,0,65,3,52,1,5
1,19,40.72542,-73.97986,1,500,2,48,4,297
1,30,40.83494,-73.93869,1,250,3,32,2,276
1,9,40.71659,-73.98945,1,125,25,43,1,102
1,11,40.72966,-74.00243,1,200,30,39,1,251
0,20,40.72898,-73.95552,1,229,1,50,1,188
4,59,40.87207,-73.90193,1,90,30,4,2,346
1,8,40.77728,-73.97818,1,110,13,38,1,0
0,20,40.72646,-73.95341,0,59,3,29,1,15
0,12,40.71015,-73.96101,1,195,4,59,1,71
0,12,40.71903,-73.9597,1,169,1,68,2,215
1,4,40.80892,-73.93985,1,113,14,26,3,253
1,2,40.80276,-73.9567,1,250,14,31,1,78
2,56,40.77635,-73.93426,1,115,2,198,1,257
0,20,40.72488,-73.95018,0,55,2,1,1,0
0,12,40.71398,-73.95763,0,69,2,220,2,8
1,23,40.71876,-73.98394,1,150,3,286,1,191
0,10,40.66552,-73.99019,1,169,2,398,3,182
0,20,40.73749,-73.95292,0,179,3,36,28,79
1,7,40.76248,-73.9913,0,150,3,36,1,49
0,38,40.68674,-73.98876,1,135,4,6,1,0
0,3,40.6848,-73.96219,1,350,6,14,1,156
0,12,40.70516,-73.95455,0,120,14,76,6,343
1,19,40.72329,-73.98486,0,71,2,182,1,200
0,20,40.73776,-73.95327,0,349,3,8,28,60
0,20,40.73738,-73.95482,0,349,3,7,28,60
0,16,40.67542,-73.98142,1,165,30,34,2,189
0,20,40.73842,-73.95312,0,249,3,2,28,60
0,32,40.6926,-73.99832,0,100,3,66,2,0
0,32,40.69441,-73.99771,1,200,3,80,2,106
1,19,40.72399,-73.98374,1,169,4,240,1,276
0,6,40.6824,-73.94615,1,185,3,46,1,248
0,21,40.68949,-73.91708,1,65,2,228,1,194
0,13,40.68819,-73.97258,1,130,35,5,1,135
0,12,40.7205,-73.96015,1,199,30,8,1,30
1,19,40.72451,-73.98094,1,225,2,33,1,0
0,20,40.73813,-73.95394,0,179,3,13,28,81
0,15,40.67591,-73.94715,1,150,5,5,1,0
1,19,40.72843,-73.98895,1,139,1,388,1,142
1,60,40.71271,-73.99776,0,95,3,223,2,60
0,15,40.66966,-73.94735,1,79,15,11,5,179
1,23,40.71965,-73.98766,1,150,2,151,2,52
0,3,40.68613,-73.96536,1,650,5,0,3,365
0,6,40.68048,-73.94911,1,90,3,218,4,324
0,6,40.68314,-73.93963,1,120,2,75,2,237
2,56,40.75961,-73.91117,0,80,1,42,2,365
0,15,40.67473,-73.94494,1,100,90,0,1,365
0,6,40.69305,-73.93185,1,175,2,370,1,204
0,15,40.67174,-73.95663,1,120,5,104,1,272
0,12,40.71055,-73.95098,1,140,7,13,1,0
0,6,40.69465,-73.95458,1,200,5,4,1,9
0,3,40.68413,-73.96542,0,165,4,11,3,365
1,26,40.73877,-73.97707,1,125,4,1,3,181
1,14,40.74893,-73.99544,1,130,30,19,1,189
1,4,40.79406,-73.94102,2,65,7,131,2,0
0,13,40.68795,-73.97332,1,123,30,15,1,189
1,30,40.85295,-73.93361,0,67,2,136,1,296
2,61,40.72413,-73.76133,0,50,1,43,1,88
0,34,40.66918,-73.99187,1,130,7,98,1,35
0,12,40.71125,-73.95613,0,100,3,31,1,0
1,8,40.78558,-73.9696,1,212,21,45,1,35
0,12,40.71577,-73.96053,1,190,3,124,1,359
0,20,40.73861,-73.95485,0,599,3,9,28,60
1,19,40.72577,-73.98745,1,249,5,166,2,365
2,62,40.58615,-73.81245,0,70,27,13,1,335
0,15,40.67086,-73.94872,1,100,30,15,5,282
1,2,40.82773,-73.95231,0,60,3,380,2,247
0,6,40.68505,-73.95684,1,135,2,86,1,102
0,20,40.72911,-73.95493,1,175,3,248,3,274
1,8,40.77944,-73.98567,1,120,5,49,1,201
1,1,40.74503,-73.98876,1,169,18,54,1,98
0,15,40.67539,-73.96093,1,165,7,3,1,157
1,2,40.8054,-73.95189,0,90,1,1,1,0
1,28,40.78491,-73.9508,1,225,2,56,1,312
0,13,40.69088,-73.97307,0,95,2,163,2,331
0,15,40.67555,-73.95057,0,55,2,247,2,275
1,7,40.75835,-73.99193,0,85,10,116,1,174
0,10,40.66527,-73.9886,1,199,14,27,2,223
1,23,40.71895,-73.99434,1,211,1,52,3,361
1,1,40.75579,-73.96699,1,145,6,39,1,0
1,2,40.82399,-73.95328,0,65,14,35,1,283
1,2,40.81822,-73.94095,1,99,1,320,1,220
2,56,40.76434,-73.92132,1,110,4,30,1,363
0,15,40.67705,-73.94925,1,80,3,225,4,315
0,32,40.69263,-73.99438,1,150,30,95,1,281
0,6,40.68448,-73.92747,1,110,4,70,1,283
1,14,40.74412,-74.00208,0,290,2,35,1,20
1,19,40.73067,-73.98702,0,87,2,0,1,0
0,12,40.70665,-73.94061,1,190,4,50,1,331
0,12,40.72063,-73.95952,1,200,2,29,1,36
0,16,40.67644,-73.98082,1,165,2,23,2,7
1,2,40.80481,-73.94794,1,110,2,142,2,301
1,19,40.72533,-73.99143,1,395,2,70,1,170
0,6,40.68569,-73.93038,0,99,2,38,2,307
0,0,40.64302,-73.97255,0,39,1,82,2,365
1,19,40.72939,-73.98857,1,189,2,403,3,201
1,8,40.79918,-73.96607,0,85,1,3,1,0
0,34,40.66862,-73.9926,1,260,30,3,1,316
1,2,40.81333,-73.94453,1,122,1,116,5,271
0,20,40.72473,-73.95199,1,165,2,175,1,139
2,63,40.70925,-73.85262,1,97,3,28,3,209
1,11,40.73215,-74.00922,1,170,4,24,1,0
0,12,40.71109,-73.94332,1,125,2,15,1,0
1,5,40.7463,-73.97926,0,130,4,105,1,193
0,12,40.71823,-73.95849,1,225,10,22,1,52
0,54,40.651,-73.94886,0,50,2,263,2,136
0,13,40.68626,-73.97598,1,170,3,86,2,286
1,14,40.74488,-74.001,1,132,4,10,1,0
0,16,40.67632,-73.97616,1,250,7,18,1,18
0,20,40.72212,-73.94254,1,141,5,8,1,9
0,15,40.67456,-73.95151,1,64,20,70,1,3
0,12,40.71363,-73.96019,1,249,3,150,1,277
0,15,40.6755,-73.95878,0,79,2,115,1,0
1,19,40.72274,-73.97581,1,185,2,69,1,233
0,38,40.6858,-73.9828,1,120,3,232,1,221
0,16,40.67535,-73.97654,1,495,1,35,1,355
1,64,40.72255,-73.99346,1,375,3,18,1,0
1,64,40.72094,-73.99706,1,175,3,68,1,277
1,19,40.72485,-73.97813,1,150,4,22,1,0
1,2,40.80473,-73.9532,1,259,8,17,1,343
1,19,40.72217,-73.98419,0,96,1,34,1,0
0,12,40.71943,-73.9565,1,145,7,8,1,0
1,14,40.74249,-74.00329,1,200,4,0,1,0
1,8,40.79264,-73.97294,1,95,5,2,1,0
0,17,40.65749,-73.97675,1,250,4,52,1,188
1,2,40.80474,-73.94688,1,295,2,74,2,264
1,52,40.72831,-74.00177,1,175,3,18,1,0
0,12,40.71541,-73.94144,1,451,2,72,1,331
1,8,40.79765,-73.96245,1,165,2,191,1,236
1,28,40.78508,-73.95332,1,250,4,0,1,0
4,65,40.89747,-73.8639,1,77,1,197,1,309
1,23,40.72008,-73.98404,1,250,4,19,1,0
2,56,40.75725,-73.91098,1,129,1,414,1,245
0,12,40.7102,-73.94495,0,98,2,8,4,0
0,16,40.67359,-73.97904,1,150,2,0,1,8
1,19,40.72674,-73.9782,0,95,7,25,1,359
1,2,40.81156,-73.94571,0,55,3,119,5,333
1,2,40.80497,-73.95016,1,300,2,203,3,258
2,39,40.7385,-73.91806,0,42,40,53,3,236
0,20,40.72937,-73.95671,1,125,2,104,1,22
1,19,40.72587,-73.98438,0,175,3,175,1,236
1,2,40.82426,-73.9463,0,75,3,38,3,365
0,12,40.71624,-73.96272,1,255,45,39,1,89
0,6,40.68101,-73.94081,1,72,31,88,1,164
0,6,40.68669,-73.91989,0,165,1,27,4,311
0,12,40.71534,-73.95914,1,165,5,117,1,23
0,3,40.68288,-73.96024,0,75,3,43,2,365
0,20,40.72489,-73.95494,1,130,5,4,1,0
0,12,40.70867,-73.94284,1,139,2,385,1,222
0,6,40.67963,-73.93908,0,88,1,64,3,238
0,6,40.6798,-73.93908,0,80,1,39,3,218
1,14,40.74346,-73.99882,0,150,2,37,1,0
1,8,40.77724,-73.98109,1,200,3,10,1,0
1,19,40.72972,-73.97995,1,200,2,103,1,235
2,39,40.74102,-73.91681,0,42,40,41,3,246
0,12,40.71309,-73.94128,0,90,6,3,1,0
1,2,40.83096,-73.94633,1,295,3,227,1,247
0,12,40.71323,-73.95745,1,450,5,37,1,15
0,15,40.67212,-73.9506,1,130,2,29,1,119
0,12,40.71023,-73.96665,0,89,3,205,3,0
1,2,40.80523,-73.95139,1,198,5,42,2,234
1,19,40.72636,-73.98917,1,99,2,280,3,257
0,20,40.72185,-73.93956,0,46,4,86,3,350
1,27,40.72351,-73.99683,0,140,2,54,1,221
0,33,40.6809,-73.99233,1,500,7,7,1,0
1,45,40.80525,-73.95916,0,75,5,57,2,201
2,39,40.74,-73.91901,0,33,44,31,3,161
1,8,40.80006,-73.96049,1,250,31,188,1,259
0,21,40.70283,-73.92131,0,60,3,480,1,0
1,30,40.84468,-73.94303,0,75,2,34,1,222
0,33,40.68252,-73.99619,1,350,5,6,1,0
1,14,40.74342,-73.99483,1,205,9,3,2,76
0,16,40.67853,-73.98089,1,219,5,2,1,0
0,16,40.6788,-73.97643,0,60,1,20,6,258
1,8,40.77886,-73.98042,1,185,2,129,1,14
1,19,40.72578,-73.97879,1,190,3,147,1,27
0,10,40.66085,-73.98537,1,105,28,101,1,167
1,4,40.80113,-73.94503,1,250,2,11,2,68
1,8,40.78569,-73.97581,1,175,65,11,1,358
1,2,40.82411,-73.94934,0,65,2,41,2,59
0,6,40.68131,-73.95332,1,75,2,87,1,0
4,66,40.85811,-73.90675,0,37,4,117,1,232
0,12,40.70667,-73.96524,1,85,2,86,2,15
0,67,40.60452,-73.97103,1,106,7,0,2,0
1,4,40.7932,-73.94007,1,79,2,15,1,0
0,13,40.68768,-73.97611,0,85,2,35,2,161
1,2,40.80224,-73.94558,0,170,2,17,2,88
1,23,40.71473,-73.98842,0,115,3,3,2,337
1,2,40.80518,-73.95359,0,89,5,43,2,247
1,2,40.80827,-73.95329,2,49,3,168,1,248
0,20,40.72901,-73.95812,0,91,3,241,1,287
1,68,40.73476,-73.98452,1,400,2,105,1,304
0,21,40.69055,-73.92357,1,150,2,11,1,0
1,8,40.7735,-73.98697,1,2000,30,30,11,0
0,15,40.67505,-73.95969,1,97,3,31,1,193
1,19,40.72974,-73.98201,0,100,4,49,2,43
0,12,40.70925,-73.95425,1,179,4,23,1,25
0,20,40.72315,-73.95226,1,500,2,20,2,127
1,14,40.73939,-73.99612,1,429,10,18,1,0
1,26,40.74112,-73.97686,1,189,6,90,1,303
1,23,40.72019,-73.98217,0,120,2,99,1,345
1,64,40.72133,-73.99666,1,300,1,6,3,115
2,56,40.75744,-73.92163,1,107,30,21,8,200
2,56,40.75695,-73.9202,1,95,30,24,8,271
1,2,40.8296,-73.94651,1,199,2,111,1,12
1,4,40.79056,-73.9468,1,120,2,86,1,268
1,11,40.73631,-73.99977,1,199,15,66,2,89
4,69,40.86466,-73.85709,1,125,2,271,2,347
0,12,40.71312,-73.96199,0,70,2,227,1,37
0,12,40.71297,-73.94336,0,75,4,80,1,0
1,11,40.73712,-74.00166,0,100,30,5,1,359
